id,food_type
0,한정식 / 백반 / 정통 한식
1,탕 / 찌개 / 전골
2,국수 / 면 요리
3,닭 / 오리 요리
4,고기 요리
5,해산물 요리
6,퓨전 한식
7,기타 한식
8,브런치 / 버거 / 샌드위치
9,이탈리안
10,프랑스 음식
11,스테이크 / 바베큐
12,시푸드 요리
13,패밀리 레스토랑
14,퓨전 양식
15,기타 양식
16,정통 일식 / 일반 일식
17,회 / 스시
18,라멘 / 소바 / 우동
19,돈부리 / 일본 카레 / 벤토
20,까스 요리
21,철판 요리
22,이자카야 / 오뎅 / 꼬치
23,퓨전 일식
24,기타 일식
25,정통 중식 / 일반 중식
26,딤섬 / 만두
27,퓨전 중식
28,기타 중식
29,카페 / 디저트
30,베이커리
31,칵테일 / 와인
32,치킨 / 호프 / 펍
33,전통 주점 / 포차
34,일반 주점
35,베트남 음식
36,태국 음식
37,인도 음식
38,다국적 아시아 음식
39,남미 음식
40,다국적 퓨전
41,세계음식 기타
42,뷔페
43,검토중
